placeId,candidateRank,photoTitle,description,creator,sourcePage,originalFile,license,licenseUrl,originalWidth,originalHeight,capturedAt,representativeness,composition,guidebookFit,mobileRecognition,resolution,licenseClarity,score,selected,reason
barcelona,1,"Aerial view of Barcelona, Spain (51227309370) edited.jpg",Barcelona,dronepicr,"https://commons.wikimedia.org/wiki/File:Aerial_view_of_Barcelona,_Spain_(51227309370)_edited.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5d/Aerial_view_of_Barcelona%2C_Spain_%2851227309370%29_edited.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,5211,2278,2021-05-24 18:21,30,19,15,14,10,10,98,True,장소 대표성·구도·해상도·라이선스를 검토해 Pilot 승인
sagrada-familia,1,Sagrada Familia Extérieur.jpg,"Extérieur de la Sagrada Familia, facade de la Passion.",Lolo7433,https://commons.wikimedia.org/wiki/File:Sagrada_Familia_Ext%C3%A9rieur.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Sagrada_Familia_Ext%C3%A9rieur.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,1920,2560,2014-07-29 17:56:07,30,19,15,14,10,10,98,True,장소 대표성·구도·해상도·라이선스를 검토해 Pilot 승인
sagrada-familia,2,Barcelona - Exterior of the Apse of the Sagrada Família - Western exposure.jpg,"Exterior of the Apse of the Sagrada Família - Western exposure Basilica and Expiatory Church of the Holy Family Native name La Sagrada Família Location Sagrada Família , Spain Coordinates 41° 24′ 13.28″ N, 2° 10′ 27.59″ E Established 19 March 1882 Website sagradafamilia.org Authority file : Q48435 VIAF : 142792618 ISNI : 0000000107894113 LCCN : n79129598 OSM : 9194723 BIC : RI-51-0003813 WorldCat institution QS:P195,Q48435 This is a photo of a monument listed in the Catalan heritage register of Béns Culturals d'Interès Nacional and the Spanish heritage register of Bienes de Interés Cultural under the reference RI-51-0003813 .",Didier Descouens,https://commons.wikimedia.org/wiki/File:Barcelona_-_Exterior_of_the_Apse_of_the_Sagrada_Fam%C3%ADlia_-_Western_exposure.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Barcelona_-_Exterior_of_the_Apse_of_the_Sagrada_Fam%C3%ADlia_-_Western_exposure.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,6587,8607,Taken on 7 May 2018,22,14,11,10,10,10,77,False,승인본보다 대표성 또는 모바일 구도가 낮아 대안 후보로 보류
sagrada-familia,3,"Sagrada Familia, Barcelona (P1170687).jpg",Intercom inside Basilica Sagrada Familia in Barcelona,Matti Blume,"https://commons.wikimedia.org/wiki/File:Sagrada_Familia,_Barcelona_(P1170687).jpg",https://upload.wikimedia.org/wikipedia/commons/d/da/Sagrada_Familia%2C_Barcelona_%28P1170687%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA,"//commons.wikimedia.org/wiki/File:Sagrada_Familia,_Barcelona_(P1170687).jpg",3456,4608,2024-02-05 14:27:18,22,14,11,10,10,10,77,False,승인본보다 대표성 또는 모바일 구도가 낮아 대안 후보로 보류
avinguda-de-gaudi,1,Av Gaudí i Sagrada Familia vist des del Pavelló de l'Administració de l'Hospital de Sant Pau.JPG,Avinguda de Gaudí i Sagrada Familia vist des del Pavelló de l'Administració de l'Hospital de Sant Pau,Jordiferrer,https://commons.wikimedia.org/wiki/File:Av_Gaud%C3%AD_i_Sagrada_Familia_vist_des_del_Pavell%C3%B3_de_l%27Administraci%C3%B3_de_l%27Hospital_de_Sant_Pau.JPG,https://upload.wikimedia.org/wikipedia/commons/0/0e/Av_Gaud%C3%AD_i_Sagrada_Familia_vist_des_del_Pavell%C3%B3_de_l%27Administraci%C3%B3_de_l%27Hospital_de_Sant_Pau.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2736,3648,2014-03-07 13:37:39,30,19,15,14,10,10,98,True,장소 대표성·구도·해상도·라이선스를 검토해 Pilot 승인
avinguda-de-gaudi,2,Barcelona 1071 39.jpg,Barcelona,FrDr,https://commons.wikimedia.org/wiki/File:Barcelona_1071_39.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Barcelona_1071_39.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,3648,5472,2014-06-01 13:15:35,22,14,11,10,10,10,77,False,승인본보다 대표성 또는 모바일 구도가 낮아 대안 후보로 보류
sant-pau-recinte-modernista,1,"Hospital Sant Pau, main facade.jpg","Hospital Sant Pau, main facade",Thomas Ledl,"https://commons.wikimedia.org/wiki/File:Hospital_Sant_Pau,_main_facade.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b7/Hospital_Sant_Pau%2C_main_facade.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,5964,3681,2018-07-01 14:36:41,30,19,15,14,10,10,98,True,장소 대표성·구도·해상도·라이선스를 검토해 Pilot 승인
sant-pau-recinte-modernista,2,17-12-03-Hospital de Sant Pau (BCN)-RalfR-DSCF0436-PANORAMA.jpg,Hospital de la Santa Creu i Sant Pau,Ralf Roletschek,https://commons.wikimedia.org/wiki/File:17-12-03-Hospital_de_Sant_Pau_(BCN)-RalfR-DSCF0436-PANORAMA.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/17-12-03-Hospital_de_Sant_Pau_%28BCN%29-RalfR-DSCF0436-PANORAMA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.html,7461,4835,2017-12-02 19:24:55,22,14,11,10,10,0,67,False,승인본보다 대표성 또는 모바일 구도가 낮아 대안 후보로 보류
sant-pau-recinte-modernista,3,17-12-03-Hospital de Sant Pau (BCN)-RalfR-DSCF0472.jpg,Hospital de la Santa Creu i Sant Pau,Ralf Roletschek,https://commons.wikimedia.org/wiki/File:17-12-03-Hospital_de_Sant_Pau_(BCN)-RalfR-DSCF0472.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/17-12-03-Hospital_de_Sant_Pau_%28BCN%29-RalfR-DSCF0472.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.html,4770,3180,2017-12-02 19:36:31,22,14,11,10,10,0,67,False,승인본보다 대표성 또는 모바일 구도가 낮아 대안 후보로 보류
barri-gotic,1,Barcelona - Carrer del Bisbe.jpg,"Neogothic-style bridge by architect Joan Rubió over Carrer del Bisbe (Bishop's Street) in Barcelona, linking the Palau de la Generalitat (Catalan Government Seat) with the Casa dels Canonges (residence of the President).",Llull,https://commons.wikimedia.org/wiki/File:Barcelona_-_Carrer_del_Bisbe.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Barcelona_-_Carrer_del_Bisbe.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,794,1094,2005,30,19,15,14,5,10,93,True,장소 대표성·구도·해상도·라이선스를 검토해 Pilot 승인
