contentId,filePath,headingLevel,sectionTitle,contentType,wordCount,linkCount,imageCount,hash
70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0#001,source/ASSETS/70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0.md,1,70. Nice·Lyon Photo Asset Rights Pass v1.0,assets-register,25,0,0,458ca87981995254
70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0#002,source/ASSETS/70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0.md,2,적용 원칙,assets-register,47,0,0,8412e7b395ef9e4e
70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0#003,source/ASSETS/70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0.md,2,등록 후보,assets-register,234,0,0,3a3b50302fdc1700
70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0#004,source/ASSETS/70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0.md,2,표준 크레디트,assets-register,20,0,0,aef7e6059f9f14a0
70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0#005,source/ASSETS/70_Nice_Lyon_Photo_Asset_Rights_Pass_v1.0.md,2,다음 단계,assets-register,28,0,0,51d5f49f3368849c
71_Travel_Field_Photo_Shot_List_v1.0#001,source/ASSETS/71_Travel_Field_Photo_Shot_List_v1.0.md,1,71. Travel Field Photo Shot List v1.0,assets-register,342,0,0,38c914aab7877c8d
71_Travel_Field_Photo_Shot_List_v1.0#002,source/ASSETS/71_Travel_Field_Photo_Shot_List_v1.0.md,2,촬영 운영규칙,assets-register,59,0,0,16ee7a163abc5e9e
75_Execution_Map_Index_v1.1#001,source/ASSETS/75_Execution_Map_Index_v1.1.md,1,75. Execution Map Index v1.1,assets-register,0,0,0,
75_Execution_Map_Index_v1.1#002,source/ASSETS/75_Execution_Map_Index_v1.1.md,2,사용법,assets-register,227,24,0,8317e8f534005357
75_Execution_Map_Index_v1.1#003,source/ASSETS/75_Execution_Map_Index_v1.1.md,2,Phase 6 검증결과,assets-register,44,0,0,ae0af6ab005566e2
80_Daily_Mobile_Guide_Image_Index_v1.1#001,source/ASSETS/80_Daily_Mobile_Guide_Image_Index_v1.1.md,1,80. Daily Mobile Guide Image Index v1.1,assets-register,0,0,0,
80_Daily_Mobile_Guide_Image_Index_v1.1#002,source/ASSETS/80_Daily_Mobile_Guide_Image_Index_v1.1.md,2,1. 전체 자산,assets-register,32,0,0,755c26f809e6042f
80_Daily_Mobile_Guide_Image_Index_v1.1#003,source/ASSETS/80_Daily_Mobile_Guide_Image_Index_v1.1.md,2,2. Phase 4 Provence 최종 카드,assets-register,90,13,0,e7705a9902e65533
80_Daily_Mobile_Guide_Image_Index_v1.1#004,source/ASSETS/80_Daily_Mobile_Guide_Image_Index_v1.1.md,2,3. 사용 원칙,assets-register,58,0,0,ddaed71dfe29462b
85_Editorial_Visuals_Index_v1.0#001,source/ASSETS/85_Editorial_Visuals_Index_v1.0.md,1,85. Editorial Visuals Index v1.0,assets-register,80,6,0,9c84290a248d0ee5
85_Visual_Asset_Register_v1.0#001,source/ASSETS/85_Visual_Asset_Register_v1.0.md,1,85. Visual Asset Register v1.0,assets-register,0,0,0,
85_Visual_Asset_Register_v1.0#002,source/ASSETS/85_Visual_Asset_Register_v1.0.md,2,1. 목적,assets-register,21,0,0,239fadb8bcf77d83
85_Visual_Asset_Register_v1.0#003,source/ASSETS/85_Visual_Asset_Register_v1.0.md,2,2. 현황,assets-register,17,0,0,95cf4fa0314f70e9
85_Visual_Asset_Register_v1.0#004,source/ASSETS/85_Visual_Asset_Register_v1.0.md,2,3. 처리전략,assets-register,39,0,0,738fc5b35ff4fd3b
85_Visual_Asset_Register_v1.0#005,source/ASSETS/85_Visual_Asset_Register_v1.0.md,2,4. 자산 목록,assets-register,8287,0,0,b063c4081681827c
85_Visual_Asset_Register_v1.0#006,source/ASSETS/85_Visual_Asset_Register_v1.0.md,2,Phase 7.2 대표사진 확정,assets-register,138,0,0,7867f9d01997df1b
86_Direct_Photography_Shot_List_v1.0#001,source/ASSETS/86_Direct_Photography_Shot_List_v1.0.md,1,86. Direct Photography Shot List v1.0,assets-register,0,0,0,
86_Direct_Photography_Shot_List_v1.0#002,source/ASSETS/86_Direct_Photography_Shot_List_v1.0.md,2,촬영 원칙,assets-register,36,0,0,e82a785c9a9a6d84
86_Direct_Photography_Shot_List_v1.0#003,source/ASSETS/86_Direct_Photography_Shot_List_v1.0.md,2,도시별 핵심 촬영목록,assets-register,96,0,0,7b8b769695ed83a7
86_Direct_Photography_Shot_List_v1.0#004,source/ASSETS/86_Direct_Photography_Shot_List_v1.0.md,2,파일명 규칙,assets-register,15,0,0,ab78cb502cca3330
87_Visual_Rights_and_Licensing_Register_v1.0#001,source/ASSETS/87_Visual_Rights_and_Licensing_Register_v1.0.md,1,87. Visual Rights and Licensing Register v1.0,assets-register,0,0,0,
87_Visual_Rights_and_Licensing_Register_v1.0#002,source/ASSETS/87_Visual_Rights_and_Licensing_Register_v1.0.md,2,사용등급,assets-register,56,0,0,68c4fd22d5fe173b
87_Visual_Rights_and_Licensing_Register_v1.0#003,source/ASSETS/87_Visual_Rights_and_Licensing_Register_v1.0.md,2,자산별 필수 메타데이터,assets-register,20,0,0,0f9140960894453c
87_Visual_Rights_and_Licensing_Register_v1.0#004,source/ASSETS/87_Visual_Rights_and_Licensing_Register_v1.0.md,2,현재 원칙,assets-register,17,0,0,12178182e1440c5a
88_Representative_Public_Photo_Credits_v1.0#001,source/ASSETS/88_Representative_Public_Photo_Credits_v1.0.md,1,88. Representative Public Photo Credits v1.0,assets-register,214,24,0,6cd99186b5e8bbbe
88_Representative_Public_Photo_Credits_v1.0#002,source/ASSETS/88_Representative_Public_Photo_Credits_v1.0.md,2,사용 조건,assets-register,37,0,0,6305ca939772d194
89_Commercial_City_Experience_Cards_v1.0#001,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,1,89. Commercial City Experience Cards v1.0,assets-register,0,0,0,
89_Commercial_City_Experience_Cards_v1.0#002,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Barcelona · Sitges,assets-register,50,0,0,0703199ff2240389
89_Commercial_City_Experience_Cards_v1.0#003,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Girona · Collioure · Empordà,assets-register,47,0,0,d50b3398e83cb8fd
89_Commercial_City_Experience_Cards_v1.0#004,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Nice · Côte d’Azur,assets-register,47,0,0,2722bd6a34e77438
89_Commercial_City_Experience_Cards_v1.0#005,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Aix-en-Provence,assets-register,50,0,0,db5582eb7f515b2b
89_Commercial_City_Experience_Cards_v1.0#006,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Luberon Farmhouse,assets-register,52,0,0,aa0774d345f3b5ec
89_Commercial_City_Experience_Cards_v1.0#007,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Avignon · Uzès · Alpilles,assets-register,50,0,0,e2269bdb89047dc4
89_Commercial_City_Experience_Cards_v1.0#008,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Lyon · Annecy,assets-register,45,0,0,f2a997bfe501eaa0
89_Commercial_City_Experience_Cards_v1.0#009,source/ASSETS/89_Commercial_City_Experience_Cards_v1.0.md,2,Paris Long Stay,assets-register,50,0,0,4249cd2ad0a63ed7
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#001,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,1,90. Regional Context and Place Dossier Compendium v1.0,assets-register,21,0,0,7dbaa04a05796fe3
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#002,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,1,Barcelona,assets-register,76,0,0,a9665c2f631af473
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#003,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Sagrada Família,assets-register,72,0,0,f9e504ae99175b88
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#004,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Sant Pau Recinte Modernista,assets-register,50,0,0,5eff2bc3fca077d1
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#005,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Barri Gòtic,assets-register,56,0,0,2af90ecec2e241fc
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#006,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Biblioteca de Catalunya,assets-register,45,0,0,4f1fcd49bc192334
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#007,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,MACBA,assets-register,49,0,0,74dc2c9bfb4eb5cb
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#008,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Cau Ferrat,assets-register,42,0,0,b6e55cb1c8cb1bb0
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#009,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Barcelona 역사도심 — Barri Gòtic·Rambla 권역,assets-register,14,0,0,d941e3088e8e1627
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#010,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Barcelona Modernisme — Eixample 권역,assets-register,13,0,0,10aa83a087e2c8fe
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#011,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,1,Girona,assets-register,64,0,0,cc2b9b7ca91566f7
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#012,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Girona Cathedral,assets-register,49,0,0,ec28d8b51683834b
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#013,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Passeig de la Muralla,assets-register,51,0,0,3a38a62d9bc7750b
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#014,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Collioure,assets-register,98,0,0,c7344783911e4d4f
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#015,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Pals,assets-register,47,0,0,bfc476fe42c8854e
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#016,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Peratallada,assets-register,44,0,0,629dd7051faef720
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#017,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Calella de Palafrugell,assets-register,41,0,0,cf8188a70d1f6bdd
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#018,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Girona 구시가지 — Call·성벽·대성당 권역,assets-register,14,0,0,5cab9dbd6703096c
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#019,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,1,Nice,assets-register,57,0,0,dd0909812abedac5
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#020,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Cours Saleya,assets-register,45,0,0,3420f089cb39e30a
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#021,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Colline du Château (성채 언덕),assets-register,39,0,0,77a46b74ebbe2db7
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#022,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Le Suquet — 칸 구시가지,assets-register,38,0,0,cdcb68bafc19af02
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#023,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Le Rocher — 모나코 구시가지,assets-register,45,0,0,7d39b24e0fc682f1
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#024,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Saint-Paul-de-Vence,assets-register,45,0,0,535778a4a71360b0
90_Regional_Context_and_Place_Dossier_Compendium_v1.0#025,source/ASSETS/90_Regional_Context_and_Place_Dossier_Compendium_v1.0.md,2,Grasse,assets-register,41,0,0,d5c04b67396b2304
